#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
 224000      1.74e+00    9.26e-01      1.95e-02    2.85e-02      9.59e-02    5.17e-02    3.2e-04
 225000      1.57e+00    6.94e-01      1.71e-02    2.74e-02      8.75e-02    3.87e-02    3.2e-04
 226000      1.52e+00    1.38e+00      4.04e-03    1.47e-03      8.56e-02    7.77e-02    3.1e-04
 227000      1.47e+00    1.35e+00      1.24e-02    1.22e-02      8.24e-02    7.51e-02    3.1e-04
 228000      1.63e+00    1.60e+00      4.24e-03    1.70e-03      9.22e-02    9.04e-02    3.1e-04
 229000      2.05e+00    8.89e-01      8.76e-03    1.50e-02      1.16e-01    5.03e-02    3.1e-04
 230000      1.63e+00    9.79e-01      2.64e-02    4.42e-02      8.86e-02    5.38e-02    3.1e-04
 231000      1.49e+00    1.08e+00      1.15e-02    1.51e-02      8.46e-02    6.14e-02    3.1e-04
 232000      1.58e+00    1.50e+00      3.08e-02    2.88e-02      8.46e-02    7.98e-02    3.0e-04
 233000      1.47e+00    1.43e+00      5.41e-03    8.43e-04      8.45e-02    8.18e-02    3.0e-04
 234000      1.46e+00    1.42e+00      1.15e-02    7.57e-03      8.36e-02    8.12e-02    3.0e-04
 235000      1.50e+00    1.52e+00      3.20e-03    1.77e-03      8.65e-02    8.74e-02    3.0e-04
 236000      1.54e+00    1.38e+00      1.33e-02    3.50e-03      8.66e-02    7.95e-02    3.0e-04
 237000      1.64e+00    1.42e+00      8.88e-03    2.10e-03      9.50e-02    8.26e-02    3.0e-04
 238000      1.45e+00    1.51e+00      5.24e-03    1.88e-03      8.43e-02    8.76e-02    3.0e-04
 239000      1.45e+00    9.22e-01      1.01e-02    8.57e-03      8.38e-02    5.37e-02    2.9e-04
 240000      1.60e+00    1.14e+00      5.38e-03    3.34e-02      9.34e-02    6.54e-02    2.9e-04
 241000      1.60e+00    8.91e-01      1.56e-02    9.85e-03      9.17e-02    5.21e-02    2.9e-04
 242000      1.46e+00    1.42e+00      1.37e-02    1.20e-02      8.47e-02    8.21e-02    2.9e-04
 243000      1.43e+00    7.36e-01      9.57e-03    6.29e-03      8.32e-02    4.33e-02    2.9e-04
 244000      1.45e+00    7.91e-01      5.42e-03    1.59e-02      8.56e-02    4.64e-02    2.9e-04
 245000      1.89e+00    6.61e-01      6.81e-02    3.10e-02      8.25e-02    3.86e-02    2.8e-04
 246000      1.22e+00    1.30e+00      2.93e-03    2.45e-03      7.25e-02    7.73e-02    2.8e-04
 247000      1.63e+00    1.33e+00      2.21e-02    3.13e-03      9.27e-02    7.90e-02    2.8e-04
 248000      1.41e+00    1.42e+00      1.47e-02    1.35e-02      8.33e-02    8.33e-02    2.8e-04
 249000      1.42e+00    1.12e+00      7.57e-03    1.07e-02      8.46e-02    6.67e-02    2.8e-04
 250000      1.39e+00    9.14e-01      1.10e-02    1.64e-03      8.21e-02    5.48e-02    2.8e-04
 251000      1.52e+00    1.51e+00      2.37e-02    9.73e-03      8.78e-02    8.98e-02    2.8e-04
 252000      1.42e+00    8.81e-01      2.91e-03    3.91e-03      8.56e-02    5.31e-02    2.7e-04
 253000      1.48e+00    8.77e-01      2.67e-02    1.14e-02      8.61e-02    5.28e-02    2.7e-04
 254000      1.44e+00    1.12e+00      1.60e-02    2.85e-02      8.62e-02    6.72e-02    2.7e-04
 255000      1.30e+00    7.79e-01      5.83e-03    7.69e-03      7.86e-02    4.73e-02    2.7e-04
 256000      1.37e+00    1.25e+00      2.59e-03    2.25e-03      8.33e-02    7.63e-02    2.7e-04
 257000      1.25e+00    8.57e-01      3.44e-03    2.06e-03      7.64e-02    5.23e-02    2.7e-04
